gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureYears,TotalServices,ChurnBinary,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Risk_Segment,Predicted Churn Score
Male,0,Yes,Yes,13.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,1.0,3,0,13.0,3,587.45,4,2,2,422,Lost Customers,Low Risk,20
Male,0,No,No,16.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.95,326.8,No,1.0,1,0,16.0,1,326.8,4,1,2,412,Lost Customers,Medium Risk,10
Male,0,Yes,No,58.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,4.0,6,0,58.0,6,5681.1,5,4,5,545,Champions,Medium-High Risk,30
Male,0,No,No,49.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,4.0,7,1,49.0,7,5036.3,5,5,5,555,Champions,Medium-High Risk,50
Male,0,No,No,25.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,2.0,7,0,25.0,7,2686.05,5,5,4,554,Champions,Medium-High Risk,50
Female,0,Yes,Yes,69.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,5.0,9,0,69.0,9,7895.15,5,5,5,555,Champions,Medium-High Risk,30
Female,0,No,No,52.0,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.65,1022.95,No,4.0,1,0,52.0,1,1022.95,5,1,3,513,Lost Customers,Medium Risk,10
Male,0,No,Yes,71.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,5.0,7,0,71.0,7,7382.25,5,5,5,555,Champions,Medium-High Risk,30
Female,0,Yes,Yes,10.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0.0,4,1,10.0,4,528.35,3,3,2,332,Average Customers,Low Risk,60
Female,0,No,No,21.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,1.0,5,0,21.0,5,1862.9,4,3,3,433,Loyal Customers,Medium-High Risk,50
Male,1,No,No,1.0,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0.0,3,1,1.0,3,39.65,1,2,1,121,At-Risk Newbies,Medium-High Risk,60
Male,0,Yes,No,12.0,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.8,202.25,No,1.0,1,0,12.0,1,202.25,3,1,1,311,Average Customers,Medium Risk,10
Male,0,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,20.15,Yes,0.0,1,1,1.0,1,20.15,1,1,1,111,At-Risk Newbies,Medium Risk,70
Female,0,Yes,No,58.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,4.0,5,0,58.0,5,3505.1,5,3,4,534,Loyal Customers,Low Risk,0
Male,0,Yes,Yes,49.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,4.0,5,0,49.0,5,2970.3,5,3,4,534,Loyal Customers,Low Risk,20
Female,0,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,2.0,4,0,30.0,4,1530.6,5,3,3,533,Loyal Customers,Low Risk,20
Male,0,Yes,Yes,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,3.0,6,1,47.0,6,4749.15,5,4,5,545,Champions,Medium-High Risk,50
Male,0,Yes,Yes,1.0,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,0.0,2,1,1.0,2,30.2,1,1,1,111,At-Risk Newbies,Medium-High Risk,70
Male,0,Yes,No,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,6.0,9,0,72.0,9,6369.45,5,5,5,555,Champions,Low Risk,20
Female,0,No,Yes,17.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1.0,4,1,17.0,4,1093.1,4,3,3,433,Loyal Customers,Low Risk,20
Female,1,Yes,No,71.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,5.0,7,0,71.0,7,6766.95,5,5,5,555,Champions,Medium-High Risk,30
Male,1,Yes,No,2.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0.0,5,0,2.0,5,181.65,1,3,1,131,Average Customers,High Risk,90
Female,0,Yes,Yes,27.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,2.0,6,0,27.0,6,1874.45,5,4,3,543,Loyal Customers,Low Risk,0
Male,0,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0.0,1,0,1.0,1,20.2,1,1,1,111,At-Risk Newbies,Medium Risk,70
Male,1,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0.0,2,0,1.0,2,45.25,1,1,1,111,At-Risk Newbies,Medium Risk,70
Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,6.0,7,0,72.0,7,7251.7,5,5,5,555,Champions,Medium-High Risk,30
Male,0,No,No,5.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0.0,2,1,5.0,2,316.9,2,1,2,212,At-Risk Newbies,Medium-High Risk,80
Female,0,No,No,46.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,3.0,3,0,46.0,3,3548.3,5,2,4,524,High Spenders,Medium-High Risk,50
Male,0,No,No,34.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,2.0,7,1,34.0,7,3549.25,5,5,4,554,Champions,Medium-High Risk,50
Female,0,No,No,11.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,0.0,6,1,11.0,6,1105.4,3,4,3,343,Loyal Customers,High Risk,90
Male,0,Yes,Yes,10.0,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0.0,3,0,10.0,3,475.7,3,2,2,322,Average Customers,Low Risk,40
Female,0,Yes,Yes,70.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,5.0,6,0,70.0,6,4872.35,5,4,5,545,Champions,Low Risk,0
Female,0,Yes,Yes,17.0,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.75,418.25,No,1.0,1,0,17.0,1,418.25,4,1,2,412,Lost Customers,Medium Risk,10
Female,0,No,No,63.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,5.0,8,0,63.0,8,4861.45,5,5,5,555,Champions,Low Risk,20
Female,0,Yes,No,13.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,1.0,7,0,13.0,7,981.45,4,5,3,453,Loyal Customers,Medium-High Risk,40
Female,0,No,No,49.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,4.0,4,0,49.0,4,3906.7,5,3,4,534,Loyal Customers,Medium-High Risk,50
Male,0,No,No,2.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0.0,3,0,2.0,3,97.0,1,2,1,121,At-Risk Newbies,Low Risk,60
Female,0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0.0,3,1,2.0,3,144.15,1,2,1,121,At-Risk Newbies,High Risk,90
Male,0,No,No,52.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,4.0,7,0,52.0,7,4217.8,5,5,4,554,Champions,Low Risk,20
Female,0,Yes,Yes,69.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,5.0,6,0,69.0,6,4254.1,5,4,4,544,Champions,Low Risk,0
Female,1,No,No,43.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,3.0,5,0,43.0,5,3838.75,5,3,4,534,Loyal Customers,Medium-High Risk,50
Female,0,No,No,15.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1.0,6,1,15.0,6,1426.4,4,4,3,443,Loyal Customers,Medium-High Risk,50
Female,1,Yes,No,25.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,2.0,6,0,25.0,6,1752.65,5,4,3,543,Loyal Customers,Medium Risk,20
Female,1,Yes,No,8.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0.0,4,1,8.0,4,633.3,3,3,2,332,Average Customers,High Risk,90
Female,1,Yes,Yes,60.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,5.0,7,0,60.0,7,4456.35,5,5,4,554,Champions,Medium Risk,20
Male,1,No,No,18.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1.0,5,1,18.0,5,1752.55,4,3,3,433,Loyal Customers,Medium-High Risk,50
Female,0,Yes,Yes,63.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,5.0,6,0,63.0,6,6311.2,5,4,5,545,Champions,Medium-High Risk,30
Male,1,Yes,Yes,66.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,5.0,8,0,66.0,8,7076.35,5,5,5,555,Champions,Medium-High Risk,30
Female,0,Yes,Yes,34.0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.95,894.3,No,2.0,2,0,34.0,2,894.3,5,1,2,512,Lost Customers,Medium Risk,10
Female,0,No,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,6.0,7,0,72.0,7,7853.7,5,5,5,555,Champions,Medium-High Risk,30
Female,0,Yes,No,47.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,3.0,6,0,47.0,6,4707.1,5,4,5,545,Champions,Medium-High Risk,50
Male,0,No,No,60.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,5.0,5,0,60.0,5,5450.7,5,3,5,535,Loyal Customers,Medium-High Risk,50
Male,0,Yes,No,72.0,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,6.0,4,0,72.0,4,2962.0,5,3,4,534,Loyal Customers,Low Risk,0
Female,0,Yes,Yes,18.0,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,1.0,4,0,18.0,4,957.1,4,3,3,433,Loyal Customers,Low Risk,0
Female,0,No,No,9.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,0.0,5,1,9.0,5,857.25,3,3,2,332,Average Customers,High Risk,90
Female,0,No,No,3.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0.0,6,0,3.0,6,244.1,1,4,1,141,Average Customers,High Risk,80
Male,0,Yes,No,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,3.0,4,0,47.0,4,3650.35,5,3,4,534,Loyal Customers,Medium-High Risk,30
Female,0,No,No,31.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,2.0,7,0,31.0,7,2497.2,5,5,4,554,Champions,Low Risk,20
Female,0,Yes,Yes,50.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.15,930.9,No,4.0,1,0,50.0,1,930.9,5,1,2,512,Lost Customers,Medium Risk,10
Male,0,No,No,10.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0.0,4,0,10.0,4,887.35,3,3,2,332,Average Customers,High Risk,90
Male,0,No,No,1.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0.0,3,0,1.0,3,49.05,1,2,1,121,At-Risk Newbies,Low Risk,60
Female,0,Yes,Yes,52.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.4,1090.65,No,4.0,1,0,52.0,1,1090.65,5,1,3,513,Lost Customers,Medium-High Risk,10
Male,1,Yes,Yes,64.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,5.0,8,0,64.0,8,7099.0,5,5,5,555,Champions,Medium-High Risk,30
Male,0,Yes,Yes,62.0,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,5.0,2,0,62.0,2,1424.6,5,1,3,513,Lost Customers,Medium Risk,10
Female,0,No,Yes,3.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0.0,5,0,3.0,5,177.4,1,3,1,131,Average Customers,Low Risk,60
Female,1,No,No,56.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,4.0,8,0,56.0,8,6139.5,5,5,5,555,Champions,Medium-High Risk,30
Female,0,No,No,46.0,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,3.0,3,0,46.0,3,2688.85,5,2,4,524,High Spenders,Low Risk,0
Female,0,Yes,Yes,8.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0.0,4,0,8.0,4,482.25,3,3,2,332,Average Customers,Low Risk,60
Male,1,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,2.0,6,0,30.0,6,2111.3,5,4,4,544,Champions,Medium-High Risk,40
Female,0,Yes,Yes,45.0,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.9,1216.6,No,3.0,2,0,45.0,2,1216.6,5,1,3,513,Lost Customers,Medium Risk,10
Female,0,No,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0.0,3,1,1.0,3,79.35,1,2,1,121,At-Risk Newbies,High Risk,90
Female,0,Yes,Yes,11.0,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0.0,4,0,11.0,4,565.35,3,3,2,332,Average Customers,Medium-High Risk,60
Female,0,Yes,No,7.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,0.0,3,1,7.0,3,496.9,3,2,2,322,Average Customers,High Risk,90
Female,0,No,No,42.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,3.0,7,0,42.0,7,4327.5,5,5,4,554,Champions,Medium-High Risk,50
Female,0,Yes,No,49.0,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,4.0,1,0,49.0,1,973.35,5,1,3,513,Lost Customers,Medium Risk,10
Male,0,No,No,9.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0.0,6,0,9.0,6,918.75,3,4,2,342,Average Customers,High Risk,90
Female,0,Yes,No,35.0,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,2.0,4,0,35.0,4,2215.45,5,3,4,534,Loyal Customers,Low Risk,0
Female,0,Yes,Yes,48.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.65,1057.0,No,4.0,1,0,48.0,1,1057.0,5,1,3,513,Lost Customers,Medium Risk,10
Female,0,Yes,Yes,46.0,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.95,927.1,No,3.0,1,0,46.0,1,927.1,5,1,2,512,Lost Customers,Medium Risk,10
Male,0,Yes,No,29.0,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,2.0,2,0,29.0,2,1009.25,5,1,3,513,Lost Customers,Medium Risk,30
Male,0,Yes,Yes,30.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,2.0,4,0,30.0,4,2570.2,5,3,4,534,Loyal Customers,Medium-High Risk,50
Male,1,No,No,1.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0.0,3,0,1.0,3,74.7,1,2,1,121,At-Risk Newbies,High Risk,90
Male,0,Yes,Yes,66.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,5.0,8,0,66.0,8,5714.25,5,5,5,555,Champions,Low Risk,20
Female,0,No,No,65.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,5.0,8,0,65.0,8,7107.0,5,5,5,555,Champions,Medium-High Risk,50
Male,0,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,6.0,7,0,72.0,7,7459.05,5,5,5,555,Champions,Medium-High Risk,30
Female,0,No,No,12.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1.0,4,1,12.0,4,927.35,3,3,2,332,Average Customers,Medium-High Risk,50
Male,0,Yes,Yes,71.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,5.0,6,0,71.0,6,4748.7,5,4,5,545,Champions,Low Risk,0
Male,0,No,No,5.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,21.05,113.85,Yes,0.0,1,1,5.0,1,113.85,2,1,1,211,At-Risk Newbies,Medium Risk,70
Male,0,No,No,52.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),21.0,1107.2,No,4.0,1,0,52.0,1,1107.2,5,1,3,513,Lost Customers,Medium Risk,10
Female,1,Yes,No,25.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,2.0,6,1,25.0,6,2514.5,5,4,4,544,Champions,Medium-High Risk,50
Male,0,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.2,20.2,No,0.0,1,0,1.0,1,20.2,1,1,1,111,At-Risk Newbies,Medium Risk,70
Female,0,Yes,Yes,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.45,19.45,No,0.0,1,0,1.0,1,19.45,1,1,1,111,At-Risk Newbies,Medium-High Risk,70
Male,0,No,No,38.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,3.0,6,0,38.0,6,3605.6,5,4,4,544,Champions,Medium-High Risk,30
Female,1,Yes,No,66.0,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,5.0,4,0,66.0,4,3027.25,5,3,4,534,Loyal Customers,Medium Risk,0
Male,0,Yes,No,68.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,5.0,8,1,68.0,8,7611.85,5,5,5,555,Champions,Medium-High Risk,30
Male,0,No,No,5.0,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,0.0,1,0,5.0,1,100.2,2,1,1,211,At-Risk Newbies,Medium Risk,70
Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,6.0,7,0,72.0,7,7303.05,5,5,5,555,Champions,Medium-High Risk,30
Female,0,No,No,32.0,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,2.0,2,0,32.0,2,927.65,5,1,2,512,Lost Customers,Medium Risk,10
Male,0,No,No,43.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,3.0,5,0,43.0,5,3921.3,5,3,4,534,Loyal Customers,Medium-High Risk,30
Male,0,Yes,Yes,72.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.4,1363.25,No,6.0,1,0,72.0,1,1363.25,5,1,3,513,Lost Customers,Medium Risk,10
Male,0,Yes,No,55.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,4.0,6,1,55.0,6,5238.9,5,4,5,545,Champions,Medium-High Risk,50
Female,0,No,No,52.0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,4.0,5,0,52.0,5,3042.25,5,3,4,534,Loyal Customers,Low Risk,0
Female,0,No,No,43.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,3.0,5,0,43.0,5,3954.1,5,3,4,534,Loyal Customers,Medium-High Risk,50
Female,1,Yes,No,37.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,3.0,3,1,37.0,3,2868.15,5,2,4,524,High Spenders,Medium-High Risk,50
Female,0,Yes,Yes,64.0,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No,5.0,5,0,64.0,5,3423.5,5,3,4,534,Loyal Customers,Medium-High Risk,0
Male,0,Yes,Yes,3.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,0.0,5,0,3.0,5,248.4,1,3,1,131,Average Customers,High Risk,90
Female,0,No,No,36.0,No,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,3.0,2,0,36.0,2,1126.35,5,1,3,513,Lost Customers,Medium Risk,10
Female,0,Yes,Yes,10.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,0.0,6,1,10.0,6,1064.65,3,4,3,343,Loyal Customers,High Risk,90
Female,0,No,No,41.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.65,835.15,No,3.0,1,0,41.0,1,835.15,5,1,2,512,Lost Customers,Medium Risk,10
Male,0,Yes,Yes,27.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,2.0,5,0,27.0,5,2151.6,5,3,4,534,Loyal Customers,Medium-High Risk,50
